"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"skipped","Thu Aug 31 00:31:14 MSK 2023","Thu Aug 31 00:31:16 MSK 2023","1328","tests","Elements","Web Tables","","","test_web_table_add_person[input_data371]"," Check if one new person could be added in the list "
"skipped","Thu Aug 31 00:31:54 MSK 2023","Thu Aug 31 00:31:56 MSK 2023","1493","tests","Elements","Web Tables","","","test_web_table_add_person[input_data394]"," Check if one new person could be added in the list "
"skipped","Thu Aug 31 00:26:59 MSK 2023","Thu Aug 31 00:27:01 MSK 2023","1452","tests","Elements","Web Tables","","","test_web_table_add_person[input_data225]"," Check if one new person could be added in the list "
"failed","Thu Aug 31 00:32:20 MSK 2023","Thu Aug 31 00:32:25 MSK 2023","5195","tests","Elements","Web Tables","","","test_web_table_search_special_symbols[/\\w/-3]"," Check if search result matches to the query "
"skipped","Thu Aug 31 00:32:00 MSK 2023","Thu Aug 31 00:32:01 MSK 2023","1324","tests","Elements","Web Tables","","","test_web_table_add_person[input_data397]"," Check if one new person could be added in the list "
"skipped","Thu Aug 31 00:31:37 MSK 2023","Thu Aug 31 00:31:38 MSK 2023","1356","tests","Elements","Web Tables","","","test_web_table_add_person[input_data384]"," Check if one new person could be added in the list "
"failed","Thu Aug 31 00:31:58 MSK 2023","Thu Aug 31 00:31:59 MSK 2023","1383","tests","Elements","Web Tables","","","test_web_table_add_person[input_data396]"," Check if one new person could be added in the list "
"failed","Thu Aug 31 00:24:43 MSK 2023","Thu Aug 31 00:24:44 MSK 2023","881","tests","Elements","Web Tables","","","test_web_table_add_person[input_data144]"," Check if one new person could be added in the list "
"skipped","Thu Aug 31 00:28:57 MSK 2023","Thu Aug 31 00:28:58 MSK 2023","1340","tests","Elements","Web Tables","","","test_web_table_add_person[input_data293]"," Check if one new person could be added in the list "
"failed","Thu Aug 31 00:23:08 MSK 2023","Thu Aug 31 00:23:09 MSK 2023","1340","tests","Elements","Web Tables","","","test_web_table_add_person[input_data77]"," Check if one new person could be added in the list "
"skipped","Thu Aug 31 00:29:02 MSK 2023","Thu Aug 31 00:29:03 MSK 2023","1361","tests","Elements","Web Tables","","","test_web_table_add_person[input_data296]"," Check if one new person could be added in the list "
"failed","Thu Aug 31 00:24:54 MSK 2023","Thu Aug 31 00:24:55 MSK 2023","1344","tests","Elements","Web Tables","","","test_web_table_add_person[input_data152]"," Check if one new person could be added in the list "
"passed","Thu Aug 31 00:32:43 MSK 2023","Thu Aug 31 00:32:43 MSK 2023","324","tests","Elements","Web Tables","","","test_web_table_switch_rows[50]"," Check if page switches to the selected rows number "
"passed","Thu Aug 31 00:21:49 MSK 2023","Thu Aug 31 00:21:50 MSK 2023","929","tests","Elements","Web Tables","","","test_web_table_add_person[input_data23]"," Check if one new person could be added in the list "
"skipped","Thu Aug 31 00:27:08 MSK 2023","Thu Aug 31 00:27:09 MSK 2023","1305","tests","Elements","Web Tables","","","test_web_table_add_person[input_data230]"," Check if one new person could be added in the list "
"failed","Thu Aug 31 00:24:25 MSK 2023","Thu Aug 31 00:24:27 MSK 2023","1336","tests","Elements","Web Tables","","","test_web_table_add_person[input_data132]"," Check if one new person could be added in the list "
"failed","Thu Aug 31 00:21:18 MSK 2023","Thu Aug 31 00:21:19 MSK 2023","1004","tests","Elements","Web Tables","","","test_web_table_add_person[input_data2]"," Check if one new person could be added in the list "
"failed","Thu Aug 31 00:23:56 MSK 2023","Thu Aug 31 00:23:57 MSK 2023","1421","tests","Elements","Web Tables","","","test_web_table_add_person[input_data111]"," Check if one new person could be added in the list "
"failed","Thu Aug 31 00:22:12 MSK 2023","Thu Aug 31 00:22:14 MSK 2023","1424","tests","Elements","Web Tables","","","test_web_table_add_person[input_data38]"," Check if one new person could be added in the list "
"skipped","Thu Aug 31 00:27:13 MSK 2023","Thu Aug 31 00:27:15 MSK 2023","1389","tests","Elements","Web Tables","","","test_web_table_add_person[input_data233]"," Check if one new person could be added in the list "
"skipped","Thu Aug 31 00:27:15 MSK 2023","Thu Aug 31 00:27:16 MSK 2023","968","tests","Elements","Web Tables","","","test_web_table_add_person[input_data234]"," Check if one new person could be added in the list "
"skipped","Thu Aug 31 00:30:17 MSK 2023","Thu Aug 31 00:30:19 MSK 2023","1408","tests","Elements","Web Tables","","","test_web_table_add_person[input_data338]"," Check if one new person could be added in the list "
"skipped","Thu Aug 31 00:28:35 MSK 2023","Thu Aug 31 00:28:37 MSK 2023","1507","tests","Elements","Web Tables","","","test_web_table_add_person[input_data281]"," Check if one new person could be added in the list "
"failed","Thu Aug 31 00:21:15 MSK 2023","Thu Aug 31 00:21:16 MSK 2023","1424","tests","Elements","Web Tables","","","test_web_table_add_person[input_data0]"," Check if one new person could be added in the list "
"skipped","Thu Aug 31 00:25:34 MSK 2023","Thu Aug 31 00:25:35 MSK 2023","1477","tests","Elements","Web Tables","","","test_web_table_add_person[input_data175]"," Check if one new person could be added in the list "
"failed","Thu Aug 31 00:29:00 MSK 2023","Thu Aug 31 00:29:01 MSK 2023","1256","tests","Elements","Web Tables","","","test_web_table_add_person[input_data295]"," Check if one new person could be added in the list "
"failed","Thu Aug 31 00:29:54 MSK 2023","Thu Aug 31 00:29:55 MSK 2023","1349","tests","Elements","Web Tables","","","test_web_table_add_person[input_data325]"," Check if one new person could be added in the list "
"failed","Thu Aug 31 00:21:20 MSK 2023","Thu Aug 31 00:21:21 MSK 2023","970","tests","Elements","Web Tables","","","test_web_table_add_person[input_data3]"," Check if one new person could be added in the list "
"skipped","Thu Aug 31 00:32:01 MSK 2023","Thu Aug 31 00:32:03 MSK 2023","1359","tests","Elements","Web Tables","","","test_web_table_add_person[input_data398]"," Check if one new person could be added in the list "
"passed","Thu Aug 31 00:24:19 MSK 2023","Thu Aug 31 00:24:20 MSK 2023","928","tests","Elements","Web Tables","","","test_web_table_add_person[input_data127]"," Check if one new person could be added in the list "
"failed","Thu Aug 31 00:22:00 MSK 2023","Thu Aug 31 00:22:01 MSK 2023","1376","tests","Elements","Web Tables","","","test_web_table_add_person[input_data30]"," Check if one new person could be added in the list "
"failed","Thu Aug 31 00:23:23 MSK 2023","Thu Aug 31 00:23:24 MSK 2023","889","tests","Elements","Web Tables","","","test_web_table_add_person[input_data87]"," Check if one new person could be added in the list "
"skipped","Thu Aug 31 00:31:25 MSK 2023","Thu Aug 31 00:31:26 MSK 2023","869","tests","Elements","Web Tables","","","test_web_table_add_person[input_data377]"," Check if one new person could be added in the list "
